Marque,Segment,Trage,SEGMENT_MODOP,reporting+70,PVFP,PM actu,collecte,rachatsNBtotactu,DCNBtotactu,prestations,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
MMA Agents,EURO,+80ans,GP,1,79125.9341,88800000.0,13120525.4,3729626.34,9879507.14,13609133.48,,,,,
MMA Agents,EURO,+80ans,PC,1,398119.347,337000000.0,47631094.7,10731679.1,39620398.6,50352077.7,,,,,
MMA Agents,EURO,+80ans,PP,1,5028.05648,5389189.88,978780.549,455222.782,570254.857,1025477.639,,,,,
MMA Agents,EURO,0-30ans,GP,0,150204.938,121000000.0,7728354.95,7639714.8,91326.1049,7731040.9048999995,,,,,
MMA Agents,EURO,0-30ans,PC,0,398521.453,212000000.0,11000086.9,10717923.4,156668.128,10874591.528,,,,,
MMA Agents,EURO,0-30ans,PP,0,3206.97954,3135930.33,364831.498,386610.579,1459.01012,388069.58912,,,,,
MMA Agents,EURO,30-40ans,GP,0,189148.261,131000000.0,7425174.96,6371665.47,383196.875,6754862.345,,,,,
MMA Agents,EURO,30-40ans,PC,0,300730.699,156000000.0,8284180.95,7438915.94,433019.792,7871935.732000001,,,,,
MMA Agents,EURO,30-40ans,PP,0,18970.9037,10690678.9,602329.096,477193.938,31800.6927,508994.63070000004,,,,,
MMA Agents,EURO,40-50ans,GP,0,427025.224,265000000.0,13626689.9,10492965.5,2065039.4,12558004.9,,,,,
MMA Agents,EURO,40-50ans,PC,0,759196.693,390000000.0,18982033.9,15355602.2,2995490.49,18351092.689999998,,,,,
MMA Agents,EURO,40-50ans,PP,0,39826.5304,22635538.8,1198827.99,955945.827,194851.319,1150797.146,,,,,
MMA Agents,EURO,50-60ans,GP,0,675289.999,445000000.0,25138492.8,18160995.6,8046972.45,26207968.05,,,,,
MMA Agents,EURO,50-60ans,PC,0,1880731.5,1010000000.0,49899152.7,34700827.6,18825479.2,53526306.8,,,,,
MMA Agents,EURO,50-60ans,PP,0,60654.7599,38817895.8,2749149.98,2370046.31,598072.691,2968119.001,,,,,
MMA Agents,EURO,60-70ans,GP,0,722867.918,565000000.0,38791284.8,25952451.8,17275576.4,43228028.2,,,,,
MMA Agents,EURO,60-70ans,PC,0,2259144.74,1370000000.0,83677735.5,51972827.9,42904088.6,94876916.5,,,,,
MMA Agents,EURO,60-70ans,PP,0,37459.9123,26500695.1,2246067.99,1825912.49,678883.669,2504796.159,,,,,
