Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MMA,0,50-60ans,PC,10235827.987732999,181149326.9,68021,8138,178965728.28,70607687.2,194725280.504,58916308.9481,3522819090.06,,,,,,,,
MMA,0,50-60ans,PP,123666.4389,3172906.5,1943,283,3066630.85,792035.69,3725909.31,830947.466,56296697.1,,,,,,,,
MMA,0,60-70ans,GP,1206088.01107,40481422.470000006,89409,2972,39320847.59,4696058.43,47852368.157,21374204.938,677767280.17,,,,,,,,
MMA,0,60-70ans,PC,11770153.783112,281185334.40999997,71615,6434,279673150.51,91241766.64,290206626.8969,137944998.1984,4575100818.66,,,,,,,,
MMA,0,60-70ans,PP,67941.46527,2561263.2,1825,163,2518208.0,533200.02,2817946.6,873881.884,34542231.8,,,,,,,,
MMA,1,70-75ans,GP,247855.2360219,11176656.639999999,44446,961,10692079.49,1356569.3499999999,14142718.6364,7629923.4093,161977834.456,,,,,,,,
MMA,1,70-75ans,PC,2650420.91058,83241144.05,34307,1753,82974907.07,27357454.3,87348697.951,53211945.12100001,1154465531.77,,,,,,,,
MMA,1,70-75ans,PP,9003.42931,526258.53,842,45,524218.13,108111.91,540724.361,169789.22,4953299.02,,,,,,,,
MMA,1,75-80ans,GP,100371.701165,6697766.279999999,27386,588,6310919.38,555330.9500000001,7314273.5571,4444749.8453,69533210.884,,,,,,,,
MMA,1,75-80ans,PC,971731.89639145,47054425.5,22438,963,46909574.1,16274064.7,42607242.166200005,28486127.766599998,469151688.007,,,,,,,,
MMA,1,75-80ans,PP,6026.586196,434667.45,460,18,430975.63,86848.33,424217.403,178279.406,3496113.2,,,,,,,,
