Marque,reporting+70,Trage,SEGMENT_MODOP,PVFP,CAYVP,NBSTIONS,NBVERSEURS,CAHVP,CAYVPUC,collecte,presta,PM actu,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
MMA CAP,0,30-40ans,PC,492859.9775,5641439.4,3890,415,5531701.9,2483211.74,6343166.02,354440.73,125378216.0,,,,,,,,
MMA CAP,1,40-50ans,GP,48620.52051,88682.19,8176,132,32208.67,9889.5,1070455.96,285561.864,7304676.67,,,,,,,,
MMA CAP,1,40-50ans,PC,1104078.941,10296543.6,10771,1451,9971892.1,5111521.2,12436058.1,2077461.44,268067175.0,,,,,,,,
MMA CAP,0,50-60ans,GP,75966.7737,460859.79,14113,174,52599.09,6319.05,3237413.91,937283.088,36578471.0,,,,,,,,
MMA CAP,0,50-60ans,PC,2665675.52,30172594.0,25402,3326,29521216.0,14506726.2,34415380.2,12480337.6,702185365.0,,,,,,,,
MMA CAP,0,60-70ans,GP,55908.13556,473280.77,9387,65,93296.59,1154.83,2646811.11,968743.573,20963938.8,,,,,,,,
MMA CAP,0,60-70ans,PC,2647491.526,41885671.0,22650,2117,41399280.0,19622433.0,44943683.2,23652340.9,762203509.0,,,,,,,,
MMA CAP,1,70-75ans,GP,23936.62133,236657.02,4086,15,22670.49,10707.95,1353025.42,579482.308,8842915.39,,,,,,,,
MMA CAP,1,70-75ans,PC,540638.8706,13084966.0,9327,581,12980002.0,6115269.3,14230960.2,8949117.69,196992405.0,,,,,,,,
MMA CAP,1,75-80ans,GP,15975.90607,225057.68,2557,7,27826.38,15892.55,908355.464,418537.01,4972070.24,,,,,,,,
MMA CAP,1,75-80ans,PC,134480.3733,7243365.0,5663,359,7171154.0,3046219.9,6511370.58,4629844.17,73094004.7,,,,,,,,
MMA Courtage,1,+80ans,GP,10667.5674,612936.78,2053,5,606609.0,0.0,669303.47,516346.712,4666089.09,,,,,,,,
MMA Courtage,1,+80ans,PC,124693.6435,31869475.4,12000,428,31826203.7,4622412.37,32845017.3,24869924.3,207622465.0,,,,,,,,
MMA Courtage,1,+80ans,PP,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
